game_id,player_id,fgm,fga,fg3m,fg3a
401809234,3908809.0,12,25,2,9
401809234,3147657.0,6,11,1,3
401809234,3136195.0,5,12,1,4
401809234,3934719.0,9,17,4,9
401809234,4432158.0,8,18,4,8
401809234,3934672.0,5,18,1,9
401809234,4066328.0,1,4,0,0
401809235,6578.0,3,7,1,3
401809235,4845367.0,8,12,1,3
401809235,4395630.0,6,14,1,4
401809235,4395723.0,5,6,1,1
401809235,5041939.0,4,13,0,1
401809235,6583.0,7,22,2,4
401809235,5037871.0,7,14,1,2
401809235,4278078.0,7,11,2,3
401809235,5104157.0,15,21,1,2
401809236,4278355.0,8,18,0,8
401809236,4433255.0,4,12,0,6
401809236,4222252.0,2,4,0,0
401809236,4900671.0,9,19,0,3
401809236,4395712.0,0,5,0,2
401809236,4278073.0,15,31,2,7
401809236,4683634.0,9,19,3,8
401809236,3149673.0,12,25,3,6
401809236,4396909.0,2,7,1,3
401809237,4431767.0,3,7,0,1
401809237,2528210.0,4,8,2,5
401809237,3138196.0,2,8,1,6
401809237,3064290.0,17,21,10,11
401809237,3936299.0,11,20,1,4
401809237,6430.0,6,16,2,4
401809237,6589.0,5,8,2,5
401809237,3975.0,14,25,6,12
401809237,3112335.0,8,23,2,13
401809238,3062679.0,5,9,2,5
401809238,3908809.0,12,25,4,9
401809238,3934672.0,10,25,6,12
401809238,3136195.0,5,13,0,2
401809238,4066328.0,3,4,0,0
401809238,4396907.0,7,14,3,4
401809238,4432158.0,6,8,0,1
401809238,3147657.0,5,10,2,4
401809238,3934719.0,3,7,1,4
401809239,5104157.0,6,12,2,3
401809239,4593803.0,5,13,1,2
401809239,4066259.0,12,19,3,4
401809239,4845367.0,8,11,0,2
401809239,6578.0,5,12,3,7
401809239,4278073.0,7,19,1,6
401809239,4222252.0,5,7,0,0
401809239,4395723.0,4,7,1,2
401809239,4395630.0,1,6,1,5
401809239,4433255.0,5,9,0,2
401809239,5037871.0,5,8,0,1
401809240,6583.0,1,4,0,0
401809240,3975.0,6,18,2,10
401809240,5041939.0,13,21,1,3
401809240,6430.0,5,10,1,3
401809240,6589.0,2,7,1,4
401809240,4278078.0,7,12,0,1
401809241,1966.0,7,13,1,3
401809241,3945274.0,9,17,3,8
401809241,4684740.0,12,19,0,2
401809241,2991235.0,2,3,0,0
401809241,3202.0,8,14,4,6
401809241,4871144.0,5,7,0,0
401809241,4711272.0,5,10,1,4
401809241,4278129.0,5,6,0,0
401809241,4433192.0,6,14,1,5
401809241,4432639.0,6,9,2,3
401809241,4066457.0,5,8,2,5
401809242,2528210.0,7,16,3,11
401809242,3934673.0,2,11,0,7
401809242,4396971.0,5,13,2,7
401809242,3032976.0,4,7,0,0
401809242,3064514.0,12,22,2,7
401809242,4594268.0,14,25,5,14
401809242,3936299.0,12,32,9,18
401809242,4431671.0,9,12,1,3
401809242,3112335.0,15,21,4,6
401809244,4066457.0,9,16,1,5
401809244,4278129.0,5,7,0,0
401809244,6589.0,3,6,1,3
401809244,3945274.0,17,27,2,10
401809244,6430.0,7,14,1,2
401809244,3975.0,6,14,3,9
401809245,4432158.0,5,10,1,5
401809245,4433621.0,3,5,0,0
401809245,4432166.0,3,14,1,7
401809245,4684742.0,3,6,0,1
401809245,4432810.0,1,9,1,4
401809245,3908809.0,13,18,2,4
401809245,4066328.0,7,12,0,0
