game_id,player_id,ftm,fta
401809234,3908809.0,5,5
401809234,3147657.0,3,3
401809234,3136195.0,8,9
401809234,3934719.0,2,4
401809234,4432158.0,2,5
401809234,3934672.0,12,13
401809234,4066328.0,2,4
401809235,6578.0,0,0
401809235,4845367.0,5,10
401809235,4395630.0,0,1
401809235,4395723.0,0,0
401809235,5041939.0,2,2
401809235,6583.0,6,6
401809235,5037871.0,0,2
401809235,4278078.0,1,1
401809235,5104157.0,9,11
401809236,4278355.0,4,4
401809236,4433255.0,7,8
401809236,4222252.0,1,3
401809236,4900671.0,8,8
401809236,4395712.0,4,4
401809236,4278073.0,23,26
401809236,4683634.0,15,17
401809236,3149673.0,5,12
401809236,4396909.0,0,0
401809237,4431767.0,0,0
401809237,2528210.0,0,0
401809237,3138196.0,0,0
401809237,3064290.0,6,6
401809237,3936299.0,2,2
401809237,6430.0,7,8
401809237,6589.0,1,2
401809237,3975.0,8,8
401809237,3112335.0,3,4
401809238,3062679.0,3,3
401809238,3908809.0,6,6
401809238,3934672.0,8,10
401809238,3136195.0,1,2
401809238,4066328.0,1,2
401809238,4396907.0,3,4
401809238,4432158.0,2,2
401809238,3147657.0,0,0
401809238,3934719.0,1,1
401809239,5104157.0,5,5
401809239,4593803.0,1,4
401809239,4066259.0,2,2
401809239,4845367.0,3,5
401809239,6578.0,2,2
401809239,4278073.0,7,8
401809239,4222252.0,3,4
401809239,4395723.0,0,2
401809239,4395630.0,2,3
401809239,4433255.0,0,2
401809239,5037871.0,2,2
401809240,6583.0,1,4
401809240,3975.0,9,9
401809240,5041939.0,0,2
401809240,6430.0,3,4
401809240,6589.0,2,2
401809240,4278078.0,0,0
401809241,1966.0,3,4
401809241,3945274.0,4,7
401809241,4684740.0,2,3
401809241,2991235.0,0,0
401809241,3202.0,5,5
401809241,4871144.0,4,4
401809241,4711272.0,2,3
401809241,4278129.0,0,0
401809241,4433192.0,0,2
401809241,4432639.0,2,2
401809241,4066457.0,0,0
401809242,2528210.0,2,2
401809242,3934673.0,2,2
401809242,4396971.0,1,1
401809242,3032976.0,1,2
401809242,3064514.0,6,7
401809242,4594268.0,11,13
401809242,3936299.0,2,3
401809242,4431671.0,2,2
401809242,3112335.0,22,23
401809244,4066457.0,7,10
401809244,4278129.0,0,2
401809244,6589.0,1,3
401809244,3945274.0,7,10
401809244,6430.0,16,16
401809244,3975.0,8,8
401809245,4432158.0,4,6
401809245,4433621.0,2,4
401809245,4432166.0,5,6
401809245,4684742.0,0,1
401809245,4432810.0,1,2
401809245,3908809.0,7,8
401809245,4066328.0,6,7
401809246,4431671.0,4,4
401809246,4431767.0,0,0
401809246,3934673.0,3,3
401809246,3138196.0,0,0
401809246,4396971.0,2,4
401809246,2528210.0,2,2
401809246,3032976.0,2,2
401809246,3064514.0,7,8
401809246,3936299.0,6,7
401809246,3064290.0,3,3
401809246,3112335.0,7,7
401809247,3134907.0,3,4
401809247,3133628.0,0,0
401809247,3064482.0,0,0
401809247,2490149.0,5,6
401809247,4278039.0,7,7
401809247,3032977.0,7,12
401809247,4591725.0,1,2
401809247,4701230.0,3,6
401809247,4869342.0,1,1
401809247,4397140.0,5,5
401809248,4278073.0,5,5
401809248,4433255.0,2,5
401809248,4066328.0,8,10
401809248,4432158.0,2,3
401809248,3908809.0,8,11
401809248,4900671.0,1,2
401809249,3934672.0,3,3
401809249,5041939.0,3,6
401809249,3136195.0,2,4
401809249,3934719.0,2,2
401809249,3062679.0,0,0
401809249,3147657.0,0,0
401809250,4066354.0,4,5
401809250,4684742.0,1,1
401809250,3078576.0,2,3
401809250,4397424.0,8,10
401809250,4433621.0,2,5
401809250,3917376.0,8,10
401809250,4432166.0,8,10
401809250,4432810.0,4,4
